Date,SPX_Close,VIX_Today,SPX_Return_Pct,fgi_value,Vol_Level
2022-09-26,3655.0400390625,32.2599983215332,-1.03,21,Normal
2022-09-27,3647.2900390625,32.599998474121094,-0.21,20,Normal
2022-09-28,3719.0400390625,30.18000030517578,1.97,20,Normal
2022-09-29,3640.469970703125,31.84000015258789,-2.11,22,Level_2 (High >2%)
2022-09-30,3585.6201171875,31.6200008392334,-1.51,21,Normal
2022-10-03,3678.429931640625,30.100000381469727,2.59,24,Level_2 (High >2%)
2022-10-04,3790.929931640625,29.06999969482422,3.06,20,Level_3 (Extreme >3%)
2022-10-05,3783.280029296875,28.549999237060547,-0.2,25,Normal
2022-10-06,3744.52001953125,30.520000457763672,-1.02,26,Normal
2022-10-07,3639.659912109375,31.360000610351562,-2.8,23,Level_2 (High >2%)
2022-10-10,3612.389892578125,32.45000076293945,-0.75,22,Normal
2022-10-11,3588.840087890625,33.630001068115234,-0.65,24,Normal
2022-10-12,3577.030029296875,33.56999969482422,-0.33,20,Normal
2022-10-13,3669.909912109375,31.940000534057617,2.6,20,Level_2 (High >2%)
2022-10-14,3583.070068359375,32.02000045776367,-2.37,24,Level_2 (High >2%)
2022-10-17,3677.949951171875,31.3700008392334,2.65,20,Level_2 (High >2%)
2022-10-18,3719.97998046875,30.5,1.14,22,Normal
2022-10-19,3695.159912109375,30.760000228881836,-0.67,23,Normal
2022-10-20,3665.780029296875,29.979999542236328,-0.8,23,Normal
2022-10-21,3752.75,29.690000534057617,2.37,23,Level_2 (High >2%)
2022-10-24,3797.340087890625,29.850000381469727,1.19,22,Normal
2022-10-25,3859.110107421875,28.459999084472656,1.63,20,Normal
2022-10-26,3830.60009765625,27.280000686645508,-0.74,33,Normal
2022-10-27,3807.300048828125,27.389999389648438,-0.61,32,Normal
2022-10-28,3901.06005859375,25.75,2.46,30,Level_2 (High >2%)
2022-10-31,3871.97998046875,25.8799991607666,-0.75,31,Normal
2022-11-01,3856.10009765625,25.809999465942383,-0.41,30,Normal
2022-11-02,3759.68994140625,25.860000610351562,-2.5,30,Level_2 (High >2%)
2022-11-03,3719.889892578125,25.299999237060547,-1.06,30,Normal
2022-11-04,3770.550048828125,24.549999237060547,1.36,30,Normal
2022-11-07,3806.800048828125,24.350000381469727,0.96,33,Normal
2022-11-08,3828.110107421875,25.540000915527344,0.56,31,Normal
2022-11-09,3748.570068359375,26.09000015258789,-2.08,29,Level_2 (High >2%)
2022-11-10,3956.3701171875,23.530000686645508,5.54,22,Level_3 (Extreme >3%)
2022-11-11,3992.929931640625,22.520000457763672,0.92,25,Normal
2022-11-14,3957.25,23.729999542236328,-0.89,24,Normal
2022-11-15,3991.72998046875,24.540000915527344,0.87,22,Normal
2022-11-16,3958.7900390625,24.110000610351562,-0.83,23,Normal
2022-11-17,3946.56005859375,23.93000030517578,-0.31,20,Normal
2022-11-18,3965.340087890625,23.1200008392334,0.48,23,Normal
2022-11-21,3949.93994140625,22.360000610351562,-0.39,21,Normal
2022-11-22,4003.580078125,21.290000915527344,1.36,22,Normal
2022-11-23,4027.260009765625,20.350000381469727,0.59,22,Normal
2022-11-25,4026.1201171875,20.5,-0.03,20,Normal
2022-11-28,3963.93994140625,22.209999084472656,-1.54,28,Normal
2022-11-29,3957.6298828125,21.889999389648438,-0.16,26,Normal
2022-11-30,4080.110107421875,20.579999923706055,3.09,29,Level_3 (Extreme >3%)
2022-12-01,4076.570068359375,19.84000015258789,-0.09,27,Normal
2022-12-02,4071.699951171875,19.059999465942383,-0.12,27,Normal
2022-12-05,3998.840087890625,20.75,-1.79,26,Normal
2022-12-06,3941.260009765625,22.170000076293945,-1.44,25,Normal
2022-12-07,3933.919921875,22.68000030517578,-0.19,29,Normal
2022-12-08,3963.510009765625,22.290000915527344,0.75,25,Normal
2022-12-09,3934.3798828125,22.829999923706055,-0.73,26,Normal
2022-12-12,3990.56005859375,25.0,1.43,27,Normal
2022-12-13,4019.64990234375,22.549999237060547,0.73,27,Normal
2022-12-14,3995.320068359375,21.139999389648438,-0.61,30,Normal
2022-12-15,3895.75,22.829999923706055,-2.49,31,Level_2 (High >2%)
2022-12-16,3852.360107421875,22.6200008392334,-1.11,29,Normal
2022-12-19,3817.659912109375,22.420000076293945,-0.9,29,Normal
2022-12-20,3821.6201171875,21.479999542236328,0.1,29,Normal
2022-12-21,3878.43994140625,20.06999969482422,1.49,26,Normal
2022-12-22,3822.389892578125,21.969999313354492,-1.45,28,Normal
2022-12-23,3844.820068359375,20.8700008392334,0.59,27,Normal
2022-12-27,3829.25,21.649999618530273,-0.4,27,Normal
2022-12-28,3783.219970703125,22.139999389648438,-1.2,28,Normal
2022-12-29,3849.280029296875,21.440000534057617,1.75,28,Normal
2022-12-30,3839.5,21.670000076293945,-0.25,28,Normal
2023-01-03,3824.139892578125,22.899999618530273,-0.4,26,Normal
2023-01-04,3852.969970703125,22.010000228881836,0.75,29,Normal
2023-01-05,3808.10009765625,22.459999084472656,-1.16,29,Normal
2023-01-06,3895.080078125,21.1299991607666,2.28,26,Level_2 (High >2%)
2023-01-09,3892.090087890625,21.969999313354492,-0.08,25,Normal
2023-01-10,3919.25,20.579999923706055,0.7,26,Normal
2023-01-11,3969.610107421875,21.09000015258789,1.28,26,Normal
2023-01-12,3983.169921875,18.829999923706055,0.34,30,Normal
2023-01-13,3999.090087890625,18.350000381469727,0.4,31,Normal
2023-01-17,3990.969970703125,19.360000610351562,-0.2,51,Normal
2023-01-18,3928.860107421875,20.34000015258789,-1.56,52,Normal
2023-01-19,3898.85009765625,20.520000457763672,-0.76,45,Normal
2023-01-20,3972.610107421875,19.850000381469727,1.89,51,Normal
2023-01-23,4019.81005859375,19.809999465942383,1.19,50,Normal
2023-01-24,4016.949951171875,19.200000762939453,-0.07,52,Normal
2023-01-25,4016.219970703125,19.079999923706055,-0.02,51,Normal
2023-01-26,4060.429931640625,18.729999542236328,1.1,54,Normal
2023-01-27,4070.56005859375,18.510000228881836,0.25,55,Normal
2023-01-30,4017.77001953125,19.940000534057617,-1.3,61,Normal
2023-01-31,4076.60009765625,19.399999618530273,1.46,51,Normal
2023-02-01,4119.2099609375,17.8700008392334,1.05,56,Normal
2023-02-02,4179.759765625,18.729999542236328,1.47,60,Normal
2023-02-03,4136.47998046875,18.329999923706055,-1.04,60,Normal
2023-02-06,4111.080078125,19.43000030517578,-0.61,56,Normal
2023-02-07,4164.0,18.65999984741211,1.29,54,Normal
2023-02-08,4117.85986328125,19.6299991607666,-1.11,58,Normal
2023-02-09,4081.5,20.709999084472656,-0.88,55,Normal
2023-02-10,4090.4599609375,20.530000686645508,0.22,48,Normal
2023-02-13,4137.2900390625,20.34000015258789,1.14,48,Normal
2023-02-14,4136.1298828125,18.90999984741211,-0.03,50,Normal
2023-02-15,4147.60009765625,18.229999542236328,0.28,53,Normal
2023-02-16,4090.409912109375,20.170000076293945,-1.38,62,Normal
2023-02-17,4079.090087890625,20.020000457763672,-0.28,61,Normal
2023-02-21,3997.340087890625,22.8700008392334,-2.0,60,Level_2 (High >2%)
2023-02-22,3991.050048828125,22.290000915527344,-0.16,59,Normal
2023-02-23,4012.320068359375,21.139999389648438,0.53,56,Normal
2023-02-24,3970.0400390625,21.670000076293945,-1.05,53,Normal
2023-02-27,3982.239990234375,20.950000762939453,0.31,50,Normal
2023-02-28,3970.14990234375,20.700000762939453,-0.3,53,Normal
2023-03-01,3951.389892578125,20.579999923706055,-0.47,50,Normal
2023-03-02,3981.35009765625,19.59000015258789,0.76,51,Normal
2023-03-03,4045.639892578125,18.489999771118164,1.61,50,Normal
2023-03-06,4048.419921875,18.610000610351562,0.07,48,Normal
2023-03-07,3986.3701171875,19.59000015258789,-1.53,49,Normal
2023-03-08,3992.010009765625,19.110000610351562,0.14,50,Normal
2023-03-09,3918.320068359375,22.610000610351562,-1.85,44,Normal
2023-03-10,3861.590087890625,24.799999237060547,-1.45,34,Normal
2023-03-13,3855.760009765625,26.520000457763672,-0.15,49,Normal
2023-03-14,3919.2900390625,23.729999542236328,1.65,56,Normal
2023-03-15,3891.929931640625,26.139999389648438,-0.7,50,Normal
2023-03-16,3960.280029296875,22.989999771118164,1.76,52,Normal
2023-03-17,3916.639892578125,25.510000228881836,-1.1,51,Normal
2023-03-20,3951.570068359375,24.149999618530273,0.89,66,Normal
2023-03-21,4002.8701171875,21.3799991607666,1.3,68,Normal
2023-03-22,3936.969970703125,22.260000228881836,-1.65,62,Normal
2023-03-23,3948.719970703125,22.610000610351562,0.3,57,Normal
2023-03-24,3970.989990234375,21.739999771118164,0.56,61,Normal
2023-03-27,3977.530029296875,20.600000381469727,0.16,64,Normal
2023-03-28,3971.27001953125,19.969999313354492,-0.16,59,Normal
2023-03-29,4027.81005859375,19.1200008392334,1.42,57,Normal
2023-03-30,4050.830078125,19.020000457763672,0.57,60,Normal
2023-03-31,4109.31005859375,18.700000762939453,1.44,63,Normal
2023-04-03,4124.509765625,18.549999237060547,0.37,63,Normal
2023-04-04,4100.60009765625,19.0,-0.58,62,Normal
2023-04-05,4090.3798828125,19.079999923706055,-0.25,62,Normal
2023-04-06,4105.02001953125,18.399999618530273,0.36,63,Normal
2023-04-10,4109.10986328125,18.969999313354492,0.1,62,Normal
2023-04-11,4108.93994140625,19.100000381469727,-0.0,68,Normal
2023-04-12,4091.949951171875,19.09000015258789,-0.41,65,Normal
2023-04-13,4146.22021484375,17.799999237060547,1.33,61,Normal
2023-04-14,4137.64013671875,17.06999969482422,-0.21,68,Normal
2023-04-17,4151.31982421875,16.950000762939453,0.33,69,Normal
2023-04-18,4154.8701171875,16.829999923706055,0.09,58,Normal
2023-04-19,4154.52001953125,16.459999084472656,-0.01,63,Normal
2023-04-20,4129.7900390625,17.170000076293945,-0.6,52,Normal
2023-04-21,4133.52001953125,16.770000457763672,0.09,50,Normal
2023-04-24,4137.0400390625,16.889999389648438,0.09,53,Normal
2023-04-25,4071.6298828125,18.760000228881836,-1.58,53,Normal
